Date and Hour,Date,StartHour,EndHour,Source,Production,dayOfYear,dayName,monthName
2020-08-02 21:00:00+02:00,2020-08-02,21:00:00,22:00:00,Wind,3164.0,215,Sunday,August
2020-08-03 04:00:00+02:00,2020-08-03,04:00:00,05:00:00,Wind,1811.0,216,Monday,August
2020-08-03 05:00:00+02:00,2020-08-03,05:00:00,06:00:00,Wind,1685.0,216,Monday,August
2020-08-03 07:00:00+02:00,2020-08-03,07:00:00,08:00:00,Wind,1480.0,216,Monday,August
2020-08-03 21:00:00+02:00,2020-08-03,21:00:00,22:00:00,Wind,3803.0,216,Monday,August
2020-08-04 06:00:00+02:00,2020-08-04,06:00:00,07:00:00,Wind,1936.0,217,Tuesday,August
2020-08-04 07:00:00+02:00,2020-08-04,07:00:00,08:00:00,Wind,1650.0,217,Tuesday,August
2020-08-04 08:00:00+02:00,2020-08-04,08:00:00,09:00:00,Wind,1291.0,217,Tuesday,August
2020-08-04 15:00:00+02:00,2020-08-04,15:00:00,16:00:00,Wind,1743.0,217,Tuesday,August
2020-08-04 17:00:00+02:00,2020-08-04,17:00:00,18:00:00,Wind,1722.0,217,Tuesday,August
2020-08-05 05:00:00+02:00,2020-08-05,05:00:00,06:00:00,Wind,1210.0,218,Wednesday,August
2020-08-05 07:00:00+02:00,2020-08-05,07:00:00,08:00:00,Wind,1792.0,218,Wednesday,August
2020-08-05 08:00:00+02:00,2020-08-05,08:00:00,09:00:00,Wind,1432.0,218,Wednesday,August
2020-08-05 12:00:00+02:00,2020-08-05,12:00:00,13:00:00,Wind,2027.0,218,Wednesday,August
2020-08-06 03:00:00+02:00,2020-08-06,03:00:00,04:00:00,Wind,1324.0,219,Thursday,August
2020-08-06 04:00:00+02:00,2020-08-06,04:00:00,05:00:00,Wind,1211.0,219,Thursday,August
2020-08-06 09:00:00+02:00,2020-08-06,09:00:00,10:00:00,Wind,392.0,219,Thursday,August
2020-08-06 10:00:00+02:00,2020-08-06,10:00:00,11:00:00,Wind,261.0,219,Thursday,August
2020-08-06 13:00:00+02:00,2020-08-06,13:00:00,14:00:00,Wind,361.0,219,Thursday,August
2020-08-06 16:00:00+02:00,2020-08-06,16:00:00,17:00:00,Wind,283.0,219,Thursday,August
2020-08-06 20:00:00+02:00,2020-08-06,20:00:00,21:00:00,Wind,574.0,219,Thursday,August
2020-08-07 12:00:00+02:00,2020-08-07,12:00:00,13:00:00,Wind,809.0,220,Friday,August
2020-08-07 13:00:00+02:00,2020-08-07,13:00:00,14:00:00,Wind,855.0,220,Friday,August
2020-08-07 14:00:00+02:00,2020-08-07,14:00:00,15:00:00,Wind,708.0,220,Friday,August
2020-08-07 17:00:00+02:00,2020-08-07,17:00:00,18:00:00,Wind,372.0,220,Friday,August
2020-08-07 22:00:00+02:00,2020-08-07,22:00:00,23:00:00,Wind,1647.0,220,Friday,August
2020-08-08 01:00:00+02:00,2020-08-08,01:00:00,02:00:00,Wind,1881.0,221,Saturday,August
2020-08-08 04:00:00+02:00,2020-08-08,04:00:00,05:00:00,Wind,1303.0,221,Saturday,August
2020-08-08 07:00:00+02:00,2020-08-08,07:00:00,08:00:00,Wind,1014.0,221,Saturday,August
2020-08-08 11:00:00+02:00,2020-08-08,11:00:00,12:00:00,Wind,393.0,221,Saturday,August
2020-08-08 12:00:00+02:00,2020-08-08,12:00:00,13:00:00,Wind,400.0,221,Saturday,August
2020-08-08 13:00:00+02:00,2020-08-08,13:00:00,14:00:00,Wind,344.0,221,Saturday,August
2020-08-08 15:00:00+02:00,2020-08-08,15:00:00,16:00:00,Wind,332.0,221,Saturday,August
2020-08-09 02:00:00+02:00,2020-08-09,02:00:00,03:00:00,Wind,1903.0,222,Sunday,August
2020-08-09 04:00:00+02:00,2020-08-09,04:00:00,05:00:00,Wind,1259.0,222,Sunday,August
2020-08-09 10:00:00+02:00,2020-08-09,10:00:00,11:00:00,Wind,341.0,222,Sunday,August
2020-08-09 15:00:00+02:00,2020-08-09,15:00:00,16:00:00,Wind,745.0,222,Sunday,August
2020-08-09 22:00:00+02:00,2020-08-09,22:00:00,23:00:00,Wind,4359.0,222,Sunday,August
2020-08-10 00:00:00+02:00,2020-08-10,00:00:00,01:00:00,Wind,3735.0,223,Monday,August
2020-08-10 01:00:00+02:00,2020-08-10,01:00:00,02:00:00,Wind,2581.0,223,Monday,August
2020-08-10 02:00:00+02:00,2020-08-10,02:00:00,03:00:00,Wind,2237.0,223,Monday,August
2020-08-10 04:00:00+02:00,2020-08-10,04:00:00,05:00:00,Wind,1605.0,223,Monday,August
2020-08-10 06:00:00+02:00,2020-08-10,06:00:00,07:00:00,Wind,1392.0,223,Monday,August
2020-08-10 07:00:00+02:00,2020-08-10,07:00:00,08:00:00,Wind,1023.0,223,Monday,August
2020-08-10 11:00:00+02:00,2020-08-10,11:00:00,12:00:00,Wind,858.0,223,Monday,August
2020-08-10 17:00:00+02:00,2020-08-10,17:00:00,18:00:00,Wind,680.0,223,Monday,August
2020-08-11 00:00:00+02:00,2020-08-11,00:00:00,01:00:00,Wind,1618.0,224,Tuesday,August
2020-08-11 01:00:00+02:00,2020-08-11,01:00:00,02:00:00,Wind,1682.0,224,Tuesday,August
2020-08-11 02:00:00+02:00,2020-08-11,02:00:00,03:00:00,Wind,1538.0,224,Tuesday,August
2020-08-11 05:00:00+02:00,2020-08-11,05:00:00,06:00:00,Wind,836.0,224,Tuesday,August
2020-08-11 06:00:00+02:00,2020-08-11,06:00:00,07:00:00,Wind,793.0,224,Tuesday,August
2020-08-11 08:00:00+02:00,2020-08-11,08:00:00,09:00:00,Wind,571.0,224,Tuesday,August
2020-08-11 17:00:00+02:00,2020-08-11,17:00:00,18:00:00,Wind,700.0,224,Tuesday,August
2020-08-11 22:00:00+02:00,2020-08-11,22:00:00,23:00:00,Wind,1313.0,224,Tuesday,August
2020-08-12 01:00:00+02:00,2020-08-12,01:00:00,02:00:00,Wind,2042.0,225,Wednesday,August
2020-08-12 12:00:00+02:00,2020-08-12,12:00:00,13:00:00,Wind,1551.0,225,Wednesday,August
2020-08-12 17:00:00+02:00,2020-08-12,17:00:00,18:00:00,Wind,1987.0,225,Wednesday,August
2020-08-12 19:00:00+02:00,2020-08-12,19:00:00,20:00:00,Wind,2009.0,225,Wednesday,August
2020-08-13 05:00:00+02:00,2020-08-13,05:00:00,06:00:00,Wind,1572.0,226,Thursday,August
2020-08-13 07:00:00+02:00,2020-08-13,07:00:00,08:00:00,Wind,1700.0,226,Thursday,August
2020-08-13 09:00:00+02:00,2020-08-13,09:00:00,10:00:00,Wind,1281.0,226,Thursday,August
2020-08-13 10:00:00+02:00,2020-08-13,10:00:00,11:00:00,Wind,1276.0,226,Thursday,August
2020-08-13 15:00:00+02:00,2020-08-13,15:00:00,16:00:00,Wind,2653.0,226,Thursday,August
2020-01-01 04:00:00+01:00,2020-01-01,04:00:00,05:00:00,Wind,2707.0,1,Wednesday,January
2020-08-13 17:00:00+02:00,2020-08-13,17:00:00,18:00:00,Wind,2624.0,226,Thursday,August
2020-01-01 07:00:00+01:00,2020-01-01,07:00:00,08:00:00,Wind,2064.0,1,Wednesday,January
2020-08-13 20:00:00+02:00,2020-08-13,20:00:00,21:00:00,Wind,2805.0,226,Thursday,August
2020-01-01 15:00:00+01:00,2020-01-01,15:00:00,16:00:00,Wind,763.0,1,Wednesday,January
2020-08-14 04:00:00+02:00,2020-08-14,04:00:00,05:00:00,Wind,2000.0,227,Friday,August
2020-01-01 16:00:00+01:00,2020-01-01,16:00:00,17:00:00,Wind,853.0,1,Wednesday,January
2020-08-14 08:00:00+02:00,2020-08-14,08:00:00,09:00:00,Wind,1903.0,227,Friday,August
2020-01-01 23:00:00+01:00,2020-01-01,23:00:00,24:00:00,Wind,1184.0,1,Wednesday,January
2020-08-14 09:00:00+02:00,2020-08-14,09:00:00,10:00:00,Wind,1810.0,227,Friday,August
2020-01-02 03:00:00+01:00,2020-01-02,03:00:00,04:00:00,Wind,1561.0,2,Thursday,January
2020-08-14 14:00:00+02:00,2020-08-14,14:00:00,15:00:00,Wind,1565.0,227,Friday,August
2020-01-02 13:00:00+01:00,2020-01-02,13:00:00,14:00:00,Wind,2981.0,2,Thursday,January
2020-08-14 18:00:00+02:00,2020-08-14,18:00:00,19:00:00,Wind,1561.0,227,Friday,August
2020-01-02 19:00:00+01:00,2020-01-02,19:00:00,20:00:00,Wind,5975.0,2,Thursday,January
2020-08-14 23:00:00+02:00,2020-08-14,23:00:00,24:00:00,Wind,693.0,227,Friday,August
2020-01-02 20:00:00+01:00,2020-01-02,20:00:00,21:00:00,Wind,6547.0,2,Thursday,January
2020-08-15 08:00:00+02:00,2020-08-15,08:00:00,09:00:00,Wind,356.0,228,Saturday,August
2020-01-03 00:00:00+01:00,2020-01-03,00:00:00,01:00:00,Wind,7204.0,3,Friday,January
2020-08-15 10:00:00+02:00,2020-08-15,10:00:00,11:00:00,Wind,149.0,228,Saturday,August
2020-01-03 09:00:00+01:00,2020-01-03,09:00:00,10:00:00,Wind,8774.0,3,Friday,January
2020-08-15 15:00:00+02:00,2020-08-15,15:00:00,16:00:00,Wind,387.0,228,Saturday,August
2020-01-03 20:00:00+01:00,2020-01-03,20:00:00,21:00:00,Wind,4962.0,3,Friday,January
2020-08-15 16:00:00+02:00,2020-08-15,16:00:00,17:00:00,Wind,472.0,228,Saturday,August
2020-01-04 02:00:00+01:00,2020-01-04,02:00:00,03:00:00,Wind,3379.0,4,Saturday,January
2020-08-15 22:00:00+02:00,2020-08-15,22:00:00,23:00:00,Wind,1365.0,228,Saturday,August
2020-01-04 04:00:00+01:00,2020-01-04,04:00:00,05:00:00,Wind,3275.0,4,Saturday,January
2020-08-16 05:00:00+02:00,2020-08-16,05:00:00,06:00:00,Wind,897.0,229,Sunday,August
2020-01-04 08:00:00+01:00,2020-01-04,08:00:00,09:00:00,Wind,3303.0,4,Saturday,January
2020-08-16 13:00:00+02:00,2020-08-16,13:00:00,14:00:00,Wind,1772.0,229,Sunday,August
2020-01-04 10:00:00+01:00,2020-01-04,10:00:00,11:00:00,Wind,3645.0,4,Saturday,January
2020-08-16 14:00:00+02:00,2020-08-16,14:00:00,15:00:00,Wind,1635.0,229,Sunday,August
2020-01-04 11:00:00+01:00,2020-01-04,11:00:00,12:00:00,Wind,3530.0,4,Saturday,January
2020-08-16 17:00:00+02:00,2020-08-16,17:00:00,18:00:00,Wind,1783.0,229,Sunday,August
2020-01-05 08:00:00+01:00,2020-01-05,08:00:00,09:00:00,Wind,1674.0,5,Sunday,January
2020-08-16 18:00:00+02:00,2020-08-16,18:00:00,19:00:00,Wind,1991.0,229,Sunday,August
2020-01-05 11:00:00+01:00,2020-01-05,11:00:00,12:00:00,Wind,1423.0,5,Sunday,January
2020-08-16 21:00:00+02:00,2020-08-16,21:00:00,22:00:00,Wind,1559.0,229,Sunday,August
2020-01-05 13:00:00+01:00,2020-01-05,13:00:00,14:00:00,Wind,1155.0,5,Sunday,January
2020-08-17 09:00:00+02:00,2020-08-17,09:00:00,10:00:00,Wind,1576.0,230,Monday,August
2020-01-05 14:00:00+01:00,2020-01-05,14:00:00,15:00:00,Wind,1137.0,5,Sunday,January
2020-08-17 11:00:00+02:00,2020-08-17,11:00:00,12:00:00,Wind,2290.0,230,Monday,August
2020-01-05 15:00:00+01:00,2020-01-05,15:00:00,16:00:00,Wind,1080.0,5,Sunday,January
2020-08-17 17:00:00+02:00,2020-08-17,17:00:00,18:00:00,Wind,3167.0,230,Monday,August
2020-01-05 16:00:00+01:00,2020-01-05,16:00:00,17:00:00,Wind,979.0,5,Sunday,January
2020-08-18 03:00:00+02:00,2020-08-18,03:00:00,04:00:00,Wind,1228.0,231,Tuesday,August
2020-01-05 18:00:00+01:00,2020-01-05,18:00:00,19:00:00,Wind,1544.0,5,Sunday,January
2020-08-18 09:00:00+02:00,2020-08-18,09:00:00,10:00:00,Wind,474.0,231,Tuesday,August
2020-01-05 21:00:00+01:00,2020-01-05,21:00:00,22:00:00,Wind,1937.0,5,Sunday,January
2020-08-18 13:00:00+02:00,2020-08-18,13:00:00,14:00:00,Wind,1453.0,231,Tuesday,August
2020-01-05 22:00:00+01:00,2020-01-05,22:00:00,23:00:00,Wind,2038.0,5,Sunday,January
2020-08-18 14:00:00+02:00,2020-08-18,14:00:00,15:00:00,Wind,1911.0,231,Tuesday,August
2020-01-06 05:00:00+01:00,2020-01-06,05:00:00,06:00:00,Wind,2725.0,6,Monday,January
2020-08-18 18:00:00+02:00,2020-08-18,18:00:00,19:00:00,Wind,2075.0,231,Tuesday,August
2020-01-06 18:00:00+01:00,2020-01-06,18:00:00,19:00:00,Wind,5474.0,6,Monday,January
2020-08-18 20:00:00+02:00,2020-08-18,20:00:00,21:00:00,Wind,942.0,231,Tuesday,August
2020-01-01 00:00:00+01:00,2020-01-01,00:00:00,01:00:00,Wind,3549.0,1,Wednesday,January
2020-01-07 05:00:00+01:00,2020-01-07,05:00:00,06:00:00,Wind,3292.0,7,Tuesday,January
2020-08-19 04:00:00+02:00,2020-08-19,04:00:00,05:00:00,Wind,1494.0,232,Wednesday,August
2020-01-01 03:00:00+01:00,2020-01-01,03:00:00,04:00:00,Wind,2753.0,1,Wednesday,January
2020-01-07 06:00:00+01:00,2020-01-07,06:00:00,07:00:00,Wind,3127.0,7,Tuesday,January
2020-08-19 05:00:00+02:00,2020-08-19,05:00:00,06:00:00,Wind,1967.0,232,Wednesday,August
2020-01-01 06:00:00+01:00,2020-01-01,06:00:00,07:00:00,Wind,2320.0,1,Wednesday,January
2020-01-07 09:00:00+01:00,2020-01-07,09:00:00,10:00:00,Wind,2999.0,7,Tuesday,January
2020-08-19 18:00:00+02:00,2020-08-19,18:00:00,19:00:00,Wind,4240.0,232,Wednesday,August
2020-01-01 11:00:00+01:00,2020-01-01,11:00:00,12:00:00,Wind,1437.0,1,Wednesday,January
2020-01-07 10:00:00+01:00,2020-01-07,10:00:00,11:00:00,Wind,2916.0,7,Tuesday,January
2020-08-20 02:00:00+02:00,2020-08-20,02:00:00,03:00:00,Wind,4147.0,233,Thursday,August
2020-01-01 12:00:00+01:00,2020-01-01,12:00:00,13:00:00,Wind,1178.0,1,Wednesday,January
2020-01-07 11:00:00+01:00,2020-01-07,11:00:00,12:00:00,Wind,2982.0,7,Tuesday,January
2020-08-20 06:00:00+02:00,2020-08-20,06:00:00,07:00:00,Wind,2486.0,233,Thursday,August
2020-01-01 18:00:00+01:00,2020-01-01,18:00:00,19:00:00,Wind,1072.0,1,Wednesday,January
2020-01-07 15:00:00+01:00,2020-01-07,15:00:00,16:00:00,Wind,3655.0,7,Tuesday,January
2020-08-20 07:00:00+02:00,2020-08-20,07:00:00,08:00:00,Wind,2390.0,233,Thursday,August
2020-01-01 22:00:00+01:00,2020-01-01,22:00:00,23:00:00,Wind,1169.0,1,Wednesday,January
2020-01-07 22:00:00+01:00,2020-01-07,22:00:00,23:00:00,Wind,5467.0,7,Tuesday,January
2020-08-20 23:00:00+02:00,2020-08-20,23:00:00,24:00:00,Wind,3839.0,233,Thursday,August
2020-01-02 06:00:00+01:00,2020-01-02,06:00:00,07:00:00,Wind,1898.0,2,Thursday,January
2020-01-07 23:00:00+01:00,2020-01-07,23:00:00,24:00:00,Wind,5545.0,7,Tuesday,January
2020-08-21 03:00:00+02:00,2020-08-21,03:00:00,04:00:00,Wind,6682.0,234,Friday,August
2020-01-02 15:00:00+01:00,2020-01-02,15:00:00,16:00:00,Wind,3511.0,2,Thursday,January
2020-01-08 03:00:00+01:00,2020-01-08,03:00:00,04:00:00,Wind,5927.0,8,Wednesday,January
2020-08-21 04:00:00+02:00,2020-08-21,04:00:00,05:00:00,Wind,7135.0,234,Friday,August
2020-01-02 16:00:00+01:00,2020-01-02,16:00:00,17:00:00,Wind,4069.0,2,Thursday,January
2020-01-08 04:00:00+01:00,2020-01-08,04:00:00,05:00:00,Wind,5686.0,8,Wednesday,January
2020-08-21 09:00:00+02:00,2020-08-21,09:00:00,10:00:00,Wind,5166.0,234,Friday,August
2020-01-02 18:00:00+01:00,2020-01-02,18:00:00,19:00:00,Wind,5321.0,2,Thursday,January
2020-01-08 09:00:00+01:00,2020-01-08,09:00:00,10:00:00,Wind,4262.0,8,Wednesday,January
2020-08-21 10:00:00+02:00,2020-08-21,10:00:00,11:00:00,Wind,5681.0,234,Friday,August
2020-01-02 21:00:00+01:00,2020-01-02,21:00:00,22:00:00,Wind,6818.0,2,Thursday,January
2020-01-08 11:00:00+01:00,2020-01-08,11:00:00,12:00:00,Wind,3428.0,8,Wednesday,January
2020-08-21 14:00:00+02:00,2020-08-21,14:00:00,15:00:00,Wind,7495.0,234,Friday,August
2020-01-03 06:00:00+01:00,2020-01-03,06:00:00,07:00:00,Wind,8797.0,3,Friday,January
2020-01-08 19:00:00+01:00,2020-01-08,19:00:00,20:00:00,Wind,3112.0,8,Wednesday,January
2020-08-21 15:00:00+02:00,2020-08-21,15:00:00,16:00:00,Wind,7542.0,234,Friday,August
2020-01-03 07:00:00+01:00,2020-01-03,07:00:00,08:00:00,Wind,9151.0,3,Friday,January
2020-01-08 20:00:00+01:00,2020-01-08,20:00:00,21:00:00,Wind,3555.0,8,Wednesday,January
2020-08-21 23:00:00+02:00,2020-08-21,23:00:00,24:00:00,Wind,4845.0,234,Friday,August
2020-01-03 10:00:00+01:00,2020-01-03,10:00:00,11:00:00,Wind,8607.0,3,Friday,January
2020-01-08 21:00:00+01:00,2020-01-08,21:00:00,22:00:00,Wind,4275.0,8,Wednesday,January
2020-08-22 04:00:00+02:00,2020-08-22,04:00:00,05:00:00,Wind,4746.0,235,Saturday,August
2020-01-03 12:00:00+01:00,2020-01-03,12:00:00,13:00:00,Wind,8895.0,3,Friday,January
2020-01-09 00:00:00+01:00,2020-01-09,00:00:00,01:00:00,Wind,6286.0,9,Thursday,January
2020-08-22 07:00:00+02:00,2020-08-22,07:00:00,08:00:00,Wind,4867.0,235,Saturday,August
2020-01-03 15:00:00+01:00,2020-01-03,15:00:00,16:00:00,Wind,7325.0,3,Friday,January
2020-01-09 01:00:00+01:00,2020-01-09,01:00:00,02:00:00,Wind,6793.0,9,Thursday,January
2020-08-22 08:00:00+02:00,2020-08-22,08:00:00,09:00:00,Wind,4839.0,235,Saturday,August
2020-01-03 23:00:00+01:00,2020-01-03,23:00:00,24:00:00,Wind,3810.0,3,Friday,January
2020-01-09 07:00:00+01:00,2020-01-09,07:00:00,08:00:00,Wind,9902.0,9,Thursday,January
2020-08-22 10:00:00+02:00,2020-08-22,10:00:00,11:00:00,Wind,6797.0,235,Saturday,August
2020-01-04 03:00:00+01:00,2020-01-04,03:00:00,04:00:00,Wind,3229.0,4,Saturday,January
2020-01-09 11:00:00+01:00,2020-01-09,11:00:00,12:00:00,Wind,10329.0,9,Thursday,January
2020-08-22 19:00:00+02:00,2020-08-22,19:00:00,20:00:00,Wind,6306.0,235,Saturday,August
2020-01-04 17:00:00+01:00,2020-01-04,17:00:00,18:00:00,Wind,3009.0,4,Saturday,January
2020-01-09 13:00:00+01:00,2020-01-09,13:00:00,14:00:00,Wind,10074.0,9,Thursday,January
2020-08-22 20:00:00+02:00,2020-08-22,20:00:00,21:00:00,Wind,4721.0,235,Saturday,August
2020-01-04 23:00:00+01:00,2020-01-04,23:00:00,24:00:00,Wind,1938.0,4,Saturday,January
2020-01-09 16:00:00+01:00,2020-01-09,16:00:00,17:00:00,Wind,10111.0,9,Thursday,January
2020-08-23 00:00:00+02:00,2020-08-23,00:00:00,01:00:00,Wind,4403.0,236,Sunday,August
2020-01-05 00:00:00+01:00,2020-01-05,00:00:00,01:00:00,Wind,1741.0,5,Sunday,January
2020-01-09 18:00:00+01:00,2020-01-09,18:00:00,19:00:00,Wind,10757.0,9,Thursday,January
2020-08-23 05:00:00+02:00,2020-08-23,05:00:00,06:00:00,Wind,4233.0,236,Sunday,August
2020-01-05 03:00:00+01:00,2020-01-05,03:00:00,04:00:00,Wind,1654.0,5,Sunday,January
2020-01-09 21:00:00+01:00,2020-01-09,21:00:00,22:00:00,Wind,10965.0,9,Thursday,January
2020-08-23 13:00:00+02:00,2020-08-23,13:00:00,14:00:00,Wind,5525.0,236,Sunday,August
2020-01-05 05:00:00+01:00,2020-01-05,05:00:00,06:00:00,Wind,1657.0,5,Sunday,January
2020-01-10 05:00:00+01:00,2020-01-10,05:00:00,06:00:00,Wind,7804.0,10,Friday,January
2020-08-23 14:00:00+02:00,2020-08-23,14:00:00,15:00:00,Wind,5733.0,236,Sunday,August
2020-01-05 12:00:00+01:00,2020-01-05,12:00:00,13:00:00,Wind,1224.0,5,Sunday,January
2020-01-10 08:00:00+01:00,2020-01-10,08:00:00,09:00:00,Wind,7462.0,10,Friday,January
2020-08-23 19:00:00+02:00,2020-08-23,19:00:00,20:00:00,Wind,3840.0,236,Sunday,August
2020-01-05 19:00:00+01:00,2020-01-05,19:00:00,20:00:00,Wind,1777.0,5,Sunday,January
2020-01-10 12:00:00+01:00,2020-01-10,12:00:00,13:00:00,Wind,5382.0,10,Friday,January
2020-08-23 21:00:00+02:00,2020-08-23,21:00:00,22:00:00,Wind,2579.0,236,Sunday,August
2020-01-05 20:00:00+01:00,2020-01-05,20:00:00,21:00:00,Wind,1867.0,5,Sunday,January
2020-01-10 15:00:00+01:00,2020-01-10,15:00:00,16:00:00,Wind,3086.0,10,Friday,January
2020-08-24 09:00:00+02:00,2020-08-24,09:00:00,10:00:00,Wind,1242.0,237,Monday,August
2020-01-06 04:00:00+01:00,2020-01-06,04:00:00,05:00:00,Wind,2432.0,6,Monday,January
2020-01-10 17:00:00+01:00,2020-01-10,17:00:00,18:00:00,Wind,2240.0,10,Friday,January
2020-08-24 14:00:00+02:00,2020-08-24,14:00:00,15:00:00,Wind,3297.0,237,Monday,August
2020-01-06 10:00:00+01:00,2020-01-06,10:00:00,11:00:00,Wind,4739.0,6,Monday,January
2020-01-10 23:00:00+01:00,2020-01-10,23:00:00,24:00:00,Wind,1571.0,10,Friday,January
