tenure,MonthlyCharges,Contract,PaymentMethod,PaperlessBilling,charge_ratio,Churn
25,58.6,Month-to-month,Credit card (automatic),1,1.0256996587030718,1
67,50.55,Two year,Bank transfer (automatic),0,0.9625758448115506,0
1,35.45,Month-to-month,Electronic check,1,1.0,1
2,44.35,Month-to-month,Electronic check,0,0.9160090191657272,1
43,25.7,Two year,Unknown,1,1.0751968147678945,0
23,75.0,Month-to-month,Bank transfer (automatic),1,1.0310144927536231,0
64,20.2,Two year,Mailed check,0,0.9883586014851485,0
57,19.6,Two year,Mailed check,1,1.047753311851056,0
1,70.45,Month-to-month,Mailed check,1,1.0,1
72,88.05,Two year,Credit card (automatic),1,1.013573411571708,0
8,70.45,Month-to-month,Electronic check,0,1.0000887154009934,1
61,101.05,Two year,Bank transfer (automatic),1,0.9687218630608123,0
64,84.3,One year,Credit card (automatic),1,0.9803251037959668,0
71,23.95,Two year,Bank transfer (automatic),0,1.0327854391484608,0
65,99.05,Two year,Credit card (automatic),1,0.9966528171475167,0
3,19.6,One year,Unknown,0,1.0433673469387754,0
1,45.65,Month-to-month,Electronic check,1,1.0,1
30,64.5,One year,Credit card (automatic),0,0.997390180878553,0
15,70.45,Month-to-month,Mailed check,1,1.0138632599952686,0
8,68.55,Month-to-month,Electronic check,1,1.0290846097738877,0
7,95.0,Month-to-month,Mailed check,0,0.9857142857142858,1
70,108.15,One year,Credit card (automatic),1,1.0475596063668187,0
62,86.1,Two year,Electronic check,0,0.9769678917987337,0
6,19.7,Month-to-month,Mailed check,0,0.9602368866328258,0
14,80.9,Month-to-month,Bank transfer (automatic),1,1.0178350697510152,0
22,84.15,Month-to-month,Bank transfer (automatic),1,0.9841462755901258,0
22,20.15,One year,Mailed check,0,0.9472140762463344,0
16,64.25,Two year,Mailed check,0,0.9961089494163424,0
10,25.7,Two year,Bank transfer (automatic),0,0.978988326848249,0
13,56.0,Month-to-month,Electronic check,1,1.0502060439560439,0
20,82.4,Month-to-month,Electronic check,0,0.9662317961165048,1
2,69.7,Month-to-month,Electronic check,1,0.9698708751793399,0
53,73.9,Two year,Bank transfer (automatic),1,1.0106084203538692,0
11,20.6,One year,Mailed check,0,1.032215357458076,0
69,19.9,Two year,Mailed check,0,0.9929721069113685,0
4,70.9,Month-to-month,Bank transfer (automatic),1,0.96262341325811,1
72,89.05,Two year,Bank transfer (automatic),1,2.066875354522669,0
58,45.3,Month-to-month,Electronic check,1,1.0090583847149275,1
16,20.4,Month-to-month,Electronic check,0,0.9846813725490197,0
43,84.25,One year,Unknown,1,0.9769512110965427,0
2,104.4,Month-to-month,Electronic check,1,1.1628352490421456,1
14,81.95,Two year,Mailed check,0,1.030027019959906,0
53,94.85,One year,Bank transfer (automatic),1,0.9946588953760158,1
32,20.55,One year,Bank transfer (automatic),0,0.9953619221411191,0
34,24.7,Month-to-month,Electronic check,0,0.9290307216003811,0
15,74.45,Month-to-month,Mailed check,1,1.025923438549362,1
7,76.45,Month-to-month,Bank transfer (automatic),0,0.9410445669438476,1
15,105.35,Month-to-month,Unknown,1,0.9867109634551495,0
61,20.55,One year,Credit card (automatic),1,0.9987635116269794,0
1,70.45,Month-to-month,Bank transfer (automatic),0,0.425124201561391,1
1,45.3,Month-to-month,Mailed check,0,1.0,0
8,84.5,Month-to-month,Bank transfer (automatic),0,0.125,1
33,74.75,One year,Credit card (automatic),0,0.9945474815040033,0
13,79.25,Month-to-month,Electronic check,1,1.0790099490414948,1
1,24.8,Month-to-month,Electronic check,1,2.1188078924697686,1
20,51.8,Month-to-month,Mailed check,1,0.9882722007722008,0
3,30.4,Month-to-month,Electronic check,0,0.9007675438596493,0
13,19.65,One year,Electronic check,0,0.9583088667058134,0
40,56.6,Month-to-month,Credit card (automatic),0,1.0508392226148409,0
43,71.9,One year,Credit card (automatic),1,1.0264094187663744,0
6,91.0,Month-to-month,Electronic check,1,0.9725274725274725,1
69,19.75,Two year,Bank transfer (automatic),0,1.009282700421941,0
72,109.7,Two year,Credit card (automatic),0,1.02923376886458,0
59,19.3,Two year,Credit card (automatic),0,1.0474224993413541,0
20,96.55,Month-to-month,Electronic check,1,0.9848006214396686,0
24,24.1,Two year,Bank transfer (automatic),1,1.0155601659751035,0
59,111.35,Month-to-month,Electronic check,1,0.992404465991339,0
72,112.25,Two year,Bank transfer (automatic),1,0.995007423904974,0
1,20.75,Month-to-month,Mailed check,0,1.0,0
27,101.9,One year,Credit card (automatic),1,0.9745029622360338,0
14,80.05,Month-to-month,Credit card (automatic),1,0.9925046845721424,0
71,105.55,Two year,Electronic check,0,0.9881839592743576,0
13,78.3,Month-to-month,Credit card (automatic),1,1.0157677571470676,0
44,68.85,Month-to-month,Credit card (automatic),0,0.9767445698818248,0
33,79.95,One year,Bank transfer (automatic),1,1.0176246517709933,0
72,55.45,Two year,Credit card (automatic),1,1.046788898907925,0
1,70.45,Month-to-month,Electronic check,0,1.134137686302342,1
19,106.6,Month-to-month,Electronic check,1,0.955095289819295,1
64,102.45,One year,Credit card (automatic),1,1.0148395558809176,0
2,46.0,Month-to-month,Credit card (automatic),1,0.9184782608695652,1
1,25.25,Month-to-month,Electronic check,0,1.0,0
61,19.75,Two year,Mailed check,0,0.9331396555301931,0
29,20.0,One year,Electronic check,0,0.9311206896551724,0
23,86.8,Month-to-month,Electronic check,0,2.096997883358241,0
57,70.45,Month-to-month,Bank transfer (automatic),1,0.8560133477768231,0
72,45.25,Two year,Credit card (automatic),0,0.9637200736648251,0
66,56.6,Two year,Bank transfer (automatic),1,1.014348431309562,0
65,84.2,Two year,Bank transfer (automatic),1,0.9728668006577745,0
8,70.45,Month-to-month,Bank transfer (automatic),1,1.1082327892122072,0
4,70.15,Month-to-month,Electronic check,1,0.9563435495367071,1
71,24.75,Two year,Bank transfer (automatic),0,1.0453265044814342,0
1,20.2,One year,Electronic check,1,1.0,0
4,50.05,Month-to-month,Mailed check,0,0.8958541458541459,1
12,19.35,One year,Bank transfer (automatic),1,0.9446597760551247,0
24,50.6,One year,Mailed check,1,1.061223649538867,0
31,81.15,One year,Mailed check,1,1.0119650984834934,0
1,55.2,Month-to-month,Mailed check,0,1.0,1
30,89.9,Month-to-month,Credit card (automatic),1,1.0096959584723768,0
47,85.3,Two year,Credit card (automatic),1,1.0244818038961363,0
54,70.45,Two year,Credit card (automatic),1,1.5142470362484555,0
50,93.5,Month-to-month,Credit card (automatic),1,1.0155080213903744,0
1,84.6,Month-to-month,Mailed check,1,1.0,1
72,20.25,Two year,Credit card (automatic),0,1.0746913580246915,0
29,25.15,Month-to-month,Electronic check,0,0.9625008569274013,0
2,54.4,Month-to-month,Mailed check,1,1.0487132352941175,1
10,29.6,Two year,Mailed check,1,1.010304054054054,0
18,70.45,Month-to-month,Electronic check,1,1.029847803800962,0
11,95.0,Month-to-month,Electronic check,1,1.0720574162679426,1
16,19.75,Two year,Mailed check,0,0.8998417721518988,0
72,86.6,Two year,Bank transfer (automatic),0,1.0184917885552989,0
72,109.2,Two year,Bank transfer (automatic),0,1.0020222832722832,0
41,74.7,One year,Credit card (automatic),1,1.0407973356842002,0
65,94.4,Month-to-month,Electronic check,0,0.9983947196870925,0
13,54.8,Month-to-month,Electronic check,1,1.026530039303762,0
4,75.35,Month-to-month,Electronic check,0,0.907100199071002,0
41,65.0,One year,Mailed check,0,0.9500187617260789,0
15,74.4,Month-to-month,Electronic check,1,0.9626344086021505,1
1,48.55,Month-to-month,Mailed check,1,1.0,1
42,99.0,One year,Electronic check,1,1.0337782587782587,0
51,93.5,One year,Electronic check,1,0.9687637621893678,0
2,70.4,Month-to-month,Electronic check,0,1.0450994318181819,1
1,40.2,Month-to-month,Electronic check,0,1.0,1
32,83.7,One year,Credit card (automatic),0,0.9831615890083633,0
10,19.85,Month-to-month,Mailed check,1,0.972544080604534,0
67,59.55,Two year,Electronic check,1,1.0285850345251073,0
61,115.1,Two year,Credit card (automatic),0,0.9981555596701371,0
50,114.35,One year,Credit card (automatic),0,1.0128727590730215,0
2,44.6,Month-to-month,Credit card (automatic),1,0.9030269058295963,1
29,45.0,Month-to-month,Electronic check,1,0.9414942528735633,0
3,41.15,Month-to-month,Electronic check,1,1.0708788983394086,1
13,106.9,Month-to-month,Electronic check,1,0.9817226739584082,1
57,89.85,Month-to-month,Electronic check,1,0.9617100625799335,0
31,49.85,Two year,Bank transfer (automatic),1,0.9836606593975473,0
45,70.45,One year,Mailed check,0,1.587335383644823,0
61,88.1,Two year,Mailed check,0,1.0284047561452152,0
50,24.9,Two year,Bank transfer (automatic),0,0.9600401606425703,0
19,105.0,Month-to-month,Mailed check,1,1.006140350877193,0
59,70.45,Two year,Mailed check,0,0.26454631846122384,1
71,24.25,Two year,Credit card (automatic),1,1.0065050094380719,0
16,94.45,Month-to-month,Electronic check,1,1.0,1
57,59.75,Two year,Electronic check,1,1.0130367760405197,0
1,24.8,Month-to-month,Bank transfer (automatic),0,2.1188078924697686,1
20,107.05,Month-to-month,Electronic check,0,1.0145025688930407,0
1,70.6,Month-to-month,Mailed check,0,1.0,1
5,85.4,Month-to-month,Electronic check,1,0.939344262295082,1
52,105.05,Month-to-month,Electronic check,1,1.0297019734192512,1
21,64.95,Month-to-month,Bank transfer (automatic),1,0.9822940723633563,0
14,55.0,Month-to-month,Electronic check,1,1.0025324675324676,0
5,50.55,Month-to-month,Bank transfer (automatic),0,0.9683481701285855,0
6,55.15,Month-to-month,Mailed check,0,0.975823511634935,0
10,51.2,Month-to-month,Electronic check,0,0.97314453125,0
1,25.4,Month-to-month,Mailed check,0,1.0,0
68,54.45,Month-to-month,Mailed check,0,0.9959893048128341,0
18,95.15,Month-to-month,Mailed check,0,1.039265487242366,1
22,70.45,One year,Credit card (automatic),1,1.1507839215433253,0
20,44.35,Month-to-month,Electronic check,1,1.0452649379932355,0
1,70.0,Month-to-month,Electronic check,0,1.0,1
8,74.5,Month-to-month,Electronic check,1,1.017701342281879,1
10,44.85,Month-to-month,Credit card (automatic),1,0.9707915273132663,1
24,70.45,Month-to-month,Electronic check,1,1.0129524485450674,1
35,61.2,One year,Unknown,0,0.9436041083099906,0
23,86.8,One year,Mailed check,0,0.972149869765578,0
6,89.35,Month-to-month,Electronic check,1,1.059130759186719,0
12,19.7,Month-to-month,Mailed check,0,0.9321065989847717,0
1,20.25,Month-to-month,Mailed check,0,1.0,0
71,76.05,Two year,Electronic check,0,1.0068339028252353,0
35,100.8,Month-to-month,Electronic check,1,0.9743480725623582,0
40,74.55,Month-to-month,Electronic check,1,1.011317907444668,0
1,73.6,Month-to-month,Mailed check,1,1.0,1
23,64.9,One year,Bank transfer (automatic),1,1.0114557513231057,0
4,95.45,Month-to-month,Electronic check,1,1.0374541644840232,1
4,90.4,Month-to-month,Electronic check,1,0.9863108407079645,0
68,60.3,Two year,Credit card (automatic),0,1.0020973563554776,0
38,81.85,Month-to-month,Mailed check,1,1.010095489181108,0
52,24.8,Two year,Mailed check,0,0.9530862282878411,0
32,74.9,Month-to-month,Electronic check,1,0.9610105140186915,1
29,75.55,Two year,Mailed check,0,0.9376754375955637,0
38,101.15,Month-to-month,Electronic check,0,0.9735020943361864,0
48,78.75,One year,Credit card (automatic),1,0.9741931216931217,0
1,19.25,Month-to-month,Bank transfer (automatic),1,1.0,0
22,89.05,Month-to-month,Electronic check,1,0.9628145577050687,0
43,115.05,Two year,Credit card (automatic),0,0.9894787908189565,0
5,69.35,Month-to-month,Electronic check,1,0.9851478010093728,0
5,80.6,Month-to-month,Electronic check,1,1.0311414392059555,1
51,110.05,One year,Credit card (automatic),0,1.01315801195535,0
71,19.9,Two year,Credit card (automatic),1,0.9590912308018968,0
38,80.3,One year,Credit card (automatic),0,1.0023759585763912,1
24,93.15,Month-to-month,Electronic check,1,0.9979647521918052,1
35,91.5,Month-to-month,Credit card (automatic),1,1.0105698672911787,0
54,82.45,One year,Bank transfer (automatic),0,0.9770455719515756,1
72,60.0,Two year,Electronic check,1,0.987037037037037,0
1,44.8,Month-to-month,Electronic check,1,1.0,0
9,48.6,One year,Mailed check,0,0.9654778235025148,0
69,60.05,Two year,Bank transfer (automatic),1,1.0080247137047629,0
52,102.7,Month-to-month,Credit card (automatic),1,0.9621189424013182,0
11,82.9,Month-to-month,Electronic check,1,0.9650729246627918,0
2,70.35,Month-to-month,Electronic check,1,0.9882729211087422,1
28,35.9,Month-to-month,Electronic check,1,0.9686132113012337,0
17,82.65,Month-to-month,Credit card (automatic),1,1.046261698871926,0
35,19.85,Two year,Mailed check,1,1.064195753868298,0
8,19.2,One year,Mailed check,1,1.0543619791666667,0
46,94.9,One year,Credit card (automatic),1,1.01318321345123,0
7,73.85,Month-to-month,Electronic check,1,0.9889737885675599,1
2,80.6,Month-to-month,Mailed check,0,0.9665012406947893,1
68,75.8,One year,Bank transfer (automatic),1,1.0270739562315692,1
43,104.6,Two year,Electronic check,1,1.0582618168882565,1
68,88.15,Two year,Electronic check,1,1.025733208768476,0
36,94.8,Month-to-month,Credit card (automatic),1,1.044787271448664,0
63,103.4,Month-to-month,Electronic check,1,1.0136317583126093,1
32,54.65,Month-to-month,Bank transfer (automatic),0,1.046489021043001,0
71,85.75,Two year,Credit card (automatic),0,1.0222641974294748,0
66,67.45,Month-to-month,Bank transfer (automatic),1,1.0127928656468315,0
63,20.5,One year,Mailed check,0,1.0283778552071237,0
41,20.25,One year,Credit card (automatic),1,1.0418548629930744,0
1,72.1,Month-to-month,Electronic check,1,1.0,0
2,90.4,Month-to-month,Electronic check,1,0.9303097345132743,1
70,19.45,Two year,Bank transfer (automatic),0,0.9573999265515976,0
23,44.95,Month-to-month,Electronic check,1,0.9642114426657638,0
64,97.0,One year,Bank transfer (automatic),0,1.0359052835051545,0
37,62.8,Two year,Credit card (automatic),1,0.9806980547426408,0
17,44.6,One year,Mailed check,0,0.8987074650487997,0
7,89.15,Month-to-month,Electronic check,1,0.9203589455973078,0
4,84.8,Month-to-month,Bank transfer (automatic),1,1.0964033018867925,1
21,41.9,Month-to-month,Electronic check,1,0.9547675872258211,1
10,80.25,Month-to-month,Bank transfer (automatic),1,1.0542056074766355,1
16,54.1,Month-to-month,Electronic check,1,1.0270332717190387,0
64,105.25,Two year,Electronic check,1,1.0129750593824227,0
27,30.75,Month-to-month,Credit card (automatic),0,0.9697079193014153,1
42,97.1,One year,Electronic check,0,0.984932077877495,0
5,20.2,Month-to-month,Mailed check,0,0.8292079207920792,0
41,98.8,Two year,Bank transfer (automatic),1,0.9773748395378692,0
58,50.3,One year,Credit card (automatic),0,0.9866833481867419,0
47,70.45,Two year,Mailed check,1,0.2856107394711807,0
18,75.9,Month-to-month,Bank transfer (automatic),1,1.0050139071878201,0
5,70.45,Month-to-month,Bank transfer (automatic),0,1.3982966643009227,1
23,59.95,Month-to-month,Bank transfer (automatic),1,1.019690321644849,0
1,19.15,Month-to-month,Mailed check,0,1.0,0
71,98.65,One year,Unknown,1,0.994103495784642,0
72,112.6,Two year,Credit card (automatic),1,1.002399102032761,0
33,20.6,One year,Mailed check,0,1.0153721682847896,0
2,85.65,Month-to-month,Electronic check,1,1.0595446584938704,1
24,35.75,Two year,Mailed check,0,2.0516382250161813,0
56,99.75,One year,Credit card (automatic),1,1.0040100250626567,0
37,96.1,Month-to-month,Credit card (automatic),1,1.0256208341536126,0
43,85.1,One year,Credit card (automatic),0,1.0008061651135465,0
1,25.35,Month-to-month,Mailed check,0,1.0,0
25,104.95,Month-to-month,Bank transfer (automatic),1,0.9781800857551215,1
61,89.65,Two year,Electronic check,0,0.9707514651696487,0
17,86.75,One year,Electronic check,0,0.9562637735209357,0
41,86.2,One year,Bank transfer (automatic),1,0.9447824118612416,0
1,50.65,Month-to-month,Mailed check,0,1.0,1
72,64.8,Two year,Bank transfer (automatic),1,1.0143068415637861,0
1,90.85,Month-to-month,Credit card (automatic),1,1.0,1
48,108.1,Two year,Bank transfer (automatic),1,0.97661308973173,0
11,19.95,Month-to-month,Mailed check,0,0.9785828206880839,1
55,85.45,Month-to-month,Electronic check,1,1.0372253843289536,1
42,54.75,One year,Electronic check,1,1.0212872363557295,0
44,90.4,Month-to-month,Mailed check,1,1.0214702333065164,0
1,44.0,Month-to-month,Electronic check,0,1.0,0
27,95.6,Month-to-month,Bank transfer (automatic),1,1.0054432047109871,0
27,84.8,Month-to-month,Bank transfer (automatic),1,1.0087133123689729,0
2,44.3,Month-to-month,Electronic check,1,1.007900677200903,0
19,19.9,Month-to-month,Mailed check,0,0.9720973287490083,0
42,95.05,Month-to-month,Electronic check,1,0.9880764509907066,0
66,90.05,Two year,Credit card (automatic),1,1.0038110140830852,0
33,109.9,Month-to-month,Bank transfer (automatic),1,1.018749827667025,0
34,73.95,Month-to-month,Credit card (automatic),1,1.0040369088811993,1
33,54.6,Month-to-month,Electronic check,1,1.0010545010545011,0
23,20.05,One year,Mailed check,0,0.9001409519679063,0
32,19.75,One year,Bank transfer (automatic),0,0.9875791139240506,0
11,20.05,One year,Credit card (automatic),0,1.0777601450918157,0
69,99.45,Month-to-month,Credit card (automatic),1,1.0212108626430878,1
68,55.9,One year,Bank transfer (automatic),0,0.014705882352941176,0
20,19.7,Two year,Mailed check,1,1.064467005076142,0
72,19.8,Two year,Credit card (automatic),1,1.0302679573512905,0
60,95.4,One year,Bank transfer (automatic),1,1.0153738644304682,0
32,93.95,Month-to-month,Mailed check,1,0.95178618946248,0
1,19.9,Month-to-month,Unknown,1,1.0,1
1,19.6,Month-to-month,Mailed check,1,1.0,1
3,81.35,Month-to-month,Electronic check,1,0.9575906576521205,1
46,24.45,One year,Bank transfer (automatic),1,0.9479416733351116,0
29,74.95,Month-to-month,Electronic check,1,0.9887281175956385,0
51,87.35,Month-to-month,Electronic check,1,1.0040742112529042,0
48,70.65,Month-to-month,Bank transfer (automatic),1,1.045367421561689,0
16,73.25,Month-to-month,Bank transfer (automatic),0,1.0202645051194539,0
70,98.7,Two year,Bank transfer (automatic),1,0.9927485887972209,0
40,24.8,Two year,Mailed check,1,1.0329637096774194,0
22,83.3,Month-to-month,Electronic check,0,1.0072574484339192,1
1,75.3,Month-to-month,Bank transfer (automatic),1,1.0,1
5,24.3,Month-to-month,Mailed check,1,1.0884773662551441,0
7,69.85,Month-to-month,Bank transfer (automatic),1,1.054197770733204,0
29,100.55,One year,Credit card (automatic),0,0.9706785095766388,0
44,25.7,One year,Mailed check,0,0.9820481075344889,0
10,40.7,Month-to-month,Bank transfer (automatic),0,1.103931203931204,0
55,51.65,Month-to-month,Bank transfer (automatic),0,0.9992255566311714,0
52,105.1,One year,Bank transfer (automatic),1,0.9837517382712435,0
10,85.95,Month-to-month,Electronic check,0,0.9989528795811519,0
18,75.6,Month-to-month,Bank transfer (automatic),1,1.0251690182245738,0
68,58.25,One year,Bank transfer (automatic),0,1.0037111840444333,0
61,19.4,Month-to-month,Mailed check,1,0.9992817306067264,1
72,70.45,Two year,Credit card (automatic),1,0.943232000630865,0
2,53.45,Month-to-month,Electronic check,0,1.1178671655753039,0
12,70.45,Month-to-month,Bank transfer (automatic),1,0.6137922876744736,1
41,19.75,Two year,Electronic check,1,1.1107749305341155,0
26,70.45,Month-to-month,Credit card (automatic),1,0.646284871976852,0
36,20.85,One year,Bank transfer (automatic),0,0.9592992272848387,0
72,114.05,Two year,Credit card (automatic),1,1.0312484777631643,0
35,89.85,Month-to-month,Bank transfer (automatic),1,1.005230940456316,0
1,55.05,Month-to-month,Mailed check,0,1.0,0
16,112.95,Month-to-month,Electronic check,1,1.041694333776007,0
