truck_count,hour,day,lag_1,lag_2,rolling_mean
104,8,3,95.0,65.0,88.0
109,9,3,104.0,95.0,102.66666666666667
70,10,3,109.0,104.0,94.33333333333333
74,11,3,70.0,109.0,84.33333333333333
74,12,3,74.0,70.0,72.66666666666667
60,13,3,74.0,74.0,69.33333333333333
83,14,3,60.0,74.0,72.33333333333333
82,15,3,83.0,60.0,75.0
151,16,3,82.0,83.0,105.33333333333333
114,17,3,151.0,82.0,115.66666666666667
71,18,3,114.0,151.0,112.0
75,19,3,71.0,114.0,86.66666666666667
49,20,3,75.0,71.0,65.0
40,21,3,49.0,75.0,54.666666666666664
28,22,3,40.0,49.0,39.0
14,23,3,28.0,40.0,27.333333333333332
7,0,4,14.0,28.0,16.333333333333332
8,1,4,7.0,14.0,9.666666666666666
11,2,4,8.0,7.0,8.666666666666666
4,3,4,11.0,8.0,7.666666666666667
15,4,4,4.0,11.0,10.0
31,5,4,15.0,4.0,16.666666666666668
42,6,4,31.0,15.0,29.333333333333332
87,7,4,42.0,31.0,53.333333333333336
115,8,4,87.0,42.0,81.33333333333333
101,9,4,115.0,87.0,101.0
90,10,4,101.0,115.0,102.0
75,11,4,90.0,101.0,88.66666666666667
64,12,4,75.0,90.0,76.33333333333333
71,13,4,64.0,75.0,70.0
89,14,4,71.0,64.0,74.66666666666667
88,15,4,89.0,71.0,82.66666666666667
126,16,4,88.0,89.0,101.0
108,17,4,126.0,88.0,107.33333333333333
108,18,4,108.0,126.0,114.0
61,19,4,108.0,108.0,92.33333333333333
53,20,4,61.0,108.0,74.0
44,21,4,53.0,61.0,52.666666666666664
25,22,4,44.0,53.0,40.666666666666664
17,23,4,25.0,44.0,28.666666666666668
17,0,5,17.0,25.0,19.666666666666668
8,1,5,17.0,17.0,14.0
6,2,5,8.0,17.0,10.333333333333334
7,3,5,6.0,8.0,7.0
12,4,5,7.0,6.0,8.333333333333334
28,5,5,12.0,7.0,15.666666666666666
56,6,5,28.0,12.0,32.0
85,7,5,56.0,28.0,56.333333333333336
142,8,5,85.0,56.0,94.33333333333333
103,9,5,142.0,85.0,110.0
99,10,5,103.0,142.0,114.66666666666667
76,11,5,99.0,103.0,92.66666666666667
64,12,5,76.0,99.0,79.66666666666667
65,13,5,64.0,76.0,68.33333333333333
78,14,5,65.0,64.0,69.0
73,15,5,78.0,65.0,72.0
129,16,5,73.0,78.0,93.33333333333333
103,17,5,129.0,73.0,101.66666666666667
79,18,5,103.0,129.0,103.66666666666667
54,19,5,79.0,103.0,78.66666666666667
62,20,5,54.0,79.0,65.0
46,21,5,62.0,54.0,54.0
25,22,5,46.0,62.0,44.333333333333336
23,23,5,25.0,46.0,31.333333333333332
12,0,6,23.0,25.0,20.0
3,1,6,12.0,23.0,12.666666666666666
10,2,6,3.0,12.0,8.333333333333334
7,3,6,10.0,3.0,6.666666666666667
10,4,6,7.0,10.0,9.0
24,5,6,10.0,7.0,13.666666666666666
53,6,6,24.0,10.0,29.0
86,7,6,53.0,24.0,54.333333333333336
129,8,6,86.0,53.0,89.33333333333333
125,9,6,129.0,86.0,113.33333333333333
92,10,6,125.0,129.0,115.33333333333333
74,11,6,92.0,125.0,97.0
80,12,6,74.0,92.0,82.0
66,13,6,80.0,74.0,73.33333333333333
61,14,6,66.0,80.0,69.0
81,15,6,61.0,66.0,69.33333333333333
152,16,6,81.0,61.0,98.0
133,17,6,152.0,81.0,122.0
78,18,6,133.0,152.0,121.0
54,19,6,78.0,133.0,88.33333333333333
47,20,6,54.0,78.0,59.666666666666664
38,21,6,47.0,54.0,46.333333333333336
16,22,6,38.0,47.0,33.666666666666664
9,23,6,16.0,38.0,21.0
18,0,0,9.0,16.0,14.333333333333334
10,1,0,18.0,9.0,12.333333333333334
5,2,0,10.0,18.0,11.0
11,3,0,5.0,10.0,8.666666666666666
11,4,0,11.0,5.0,9.0
23,5,0,11.0,11.0,15.0
54,6,0,23.0,11.0,29.333333333333332
84,7,0,54.0,23.0,53.666666666666664
128,8,0,84.0,54.0,88.66666666666667
85,9,0,128.0,84.0,99.0
94,10,0,85.0,128.0,102.33333333333333
83,11,0,94.0,85.0,87.33333333333333
63,12,0,83.0,94.0,80.0
78,13,0,63.0,83.0,74.66666666666667
85,14,0,78.0,63.0,75.33333333333333
97,15,0,85.0,78.0,86.66666666666667
124,16,0,97.0,85.0,102.0
120,17,0,124.0,97.0,113.66666666666667
83,18,0,120.0,124.0,109.0
62,19,0,83.0,120.0,88.33333333333333
53,20,0,62.0,83.0,66.0
29,21,0,53.0,62.0,48.0
22,22,0,29.0,53.0,34.666666666666664
18,23,0,22.0,29.0,23.0
14,0,1,18.0,22.0,18.0
7,1,1,14.0,18.0,13.0
7,2,1,7.0,14.0,9.333333333333334
5,3,1,7.0,7.0,6.333333333333333
10,4,1,5.0,7.0,7.333333333333333
26,5,1,10.0,5.0,13.666666666666666
49,6,1,26.0,10.0,28.333333333333332
80,7,1,49.0,26.0,51.666666666666664
136,8,1,80.0,49.0,88.33333333333333
97,9,1,136.0,80.0,104.33333333333333
92,10,1,97.0,136.0,108.33333333333333
71,11,1,92.0,97.0,86.66666666666667
55,12,1,71.0,92.0,72.66666666666667
63,13,1,55.0,71.0,63.0
99,14,1,63.0,55.0,72.33333333333333
98,15,1,99.0,63.0,86.66666666666667
136,16,1,98.0,99.0,111.0
114,17,1,136.0,98.0,116.0
83,18,1,114.0,136.0,111.0
63,19,1,83.0,114.0,86.66666666666667
47,20,1,63.0,83.0,64.33333333333333
41,21,1,47.0,63.0,50.333333333333336
30,22,1,41.0,47.0,39.333333333333336
17,23,1,30.0,41.0,29.333333333333332
12,0,2,17.0,30.0,19.666666666666668
8,1,2,12.0,17.0,12.333333333333334
8,2,2,8.0,12.0,9.333333333333334
4,3,2,8.0,8.0,6.666666666666667
10,4,2,4.0,8.0,7.333333333333333
30,5,2,10.0,4.0,14.666666666666666
50,6,2,30.0,10.0,30.0
91,7,2,50.0,30.0,57.0
139,8,2,91.0,50.0,93.33333333333333
117,9,2,139.0,91.0,115.66666666666667
86,10,2,117.0,139.0,114.0
78,11,2,86.0,117.0,93.66666666666667
74,12,2,78.0,86.0,79.33333333333333
62,13,2,74.0,78.0,71.33333333333333
69,14,2,62.0,74.0,68.33333333333333
99,15,2,69.0,62.0,76.66666666666667
120,16,2,99.0,69.0,96.0
118,17,2,120.0,99.0,112.33333333333333
78,18,2,118.0,120.0,105.33333333333333
42,19,2,78.0,118.0,79.33333333333333
43,20,2,42.0,78.0,54.333333333333336
53,21,2,43.0,42.0,46.0
25,22,2,53.0,43.0,40.333333333333336
24,23,2,25.0,53.0,34.0
17,0,3,24.0,25.0,22.0
6,1,3,17.0,24.0,15.666666666666666
5,2,3,6.0,17.0,9.333333333333334
7,3,3,5.0,6.0,6.0
12,4,3,7.0,5.0,8.0
24,5,3,12.0,7.0,14.333333333333334
50,6,3,24.0,12.0,28.666666666666668
79,7,3,50.0,24.0,51.0
128,8,3,79.0,50.0,85.66666666666667
112,9,3,128.0,79.0,106.33333333333333
96,10,3,112.0,128.0,112.0
77,11,3,96.0,112.0,95.0
70,12,3,77.0,96.0,81.0
64,13,3,70.0,77.0,70.33333333333333
84,14,3,64.0,70.0,72.66666666666667
74,15,3,84.0,64.0,74.0
116,16,3,74.0,84.0,91.33333333333333
130,17,3,116.0,74.0,106.66666666666667
98,18,3,130.0,116.0,114.66666666666667
67,19,3,98.0,130.0,98.33333333333333
45,20,3,67.0,98.0,70.0
35,21,3,45.0,67.0,49.0
25,22,3,35.0,45.0,35.0
19,23,3,25.0,35.0,26.333333333333332
13,0,4,19.0,25.0,19.0
6,1,4,13.0,19.0,12.666666666666666
12,2,4,6.0,13.0,10.333333333333334
5,3,4,12.0,6.0,7.666666666666667
12,4,4,5.0,12.0,9.666666666666666
19,5,4,12.0,5.0,12.0
61,6,4,19.0,12.0,30.666666666666668
83,7,4,61.0,19.0,54.333333333333336
145,8,4,83.0,61.0,96.33333333333333
97,9,4,145.0,83.0,108.33333333333333
102,10,4,97.0,145.0,114.66666666666667
74,11,4,102.0,97.0,91.0
64,12,4,74.0,102.0,80.0
59,13,4,64.0,74.0,65.66666666666667
86,14,4,59.0,64.0,69.66666666666667
82,15,4,86.0,59.0,75.66666666666667
128,16,4,82.0,86.0,98.66666666666667
124,17,4,128.0,82.0,111.33333333333333
82,18,4,124.0,128.0,111.33333333333333
64,19,4,82.0,124.0,90.0
55,20,4,64.0,82.0,67.0
28,21,4,55.0,64.0,49.0
24,22,4,28.0,55.0,35.666666666666664
15,23,4,24.0,28.0,22.333333333333332
10,0,5,15.0,24.0,16.333333333333332
8,1,5,10.0,15.0,11.0
9,2,5,8.0,10.0,9.0
7,3,5,9.0,8.0,8.0
10,4,5,7.0,9.0,8.666666666666666
17,5,5,10.0,7.0,11.333333333333334
44,6,5,17.0,10.0,23.666666666666668
96,7,5,44.0,17.0,52.333333333333336
142,8,5,96.0,44.0,94.0
119,9,5,142.0,96.0,119.0
85,10,5,119.0,142.0,115.33333333333333
81,11,5,85.0,119.0,95.0
55,12,5,81.0,85.0,73.66666666666667
72,13,5,55.0,81.0,69.33333333333333
80,14,5,72.0,55.0,69.0
76,15,5,80.0,72.0,76.0
135,16,5,76.0,80.0,97.0
114,17,5,135.0,76.0,108.33333333333333
83,18,5,114.0,135.0,110.66666666666667
61,19,5,83.0,114.0,86.0
49,20,5,61.0,83.0,64.33333333333333
31,21,5,49.0,61.0,47.0
35,22,5,31.0,49.0,38.333333333333336
21,23,5,35.0,31.0,29.0
9,0,6,21.0,35.0,21.666666666666668
8,1,6,9.0,21.0,12.666666666666666
10,2,6,8.0,9.0,9.0
14,3,6,10.0,8.0,10.666666666666666
10,4,6,14.0,10.0,11.333333333333334
17,5,6,10.0,14.0,13.666666666666666
62,6,6,17.0,10.0,29.666666666666668
100,7,6,62.0,17.0,59.666666666666664
136,8,6,100.0,62.0,99.33333333333333
107,9,6,136.0,100.0,114.33333333333333
80,10,6,107.0,136.0,107.66666666666667
88,11,6,80.0,107.0,91.66666666666667
49,12,6,88.0,80.0,72.33333333333333
66,13,6,49.0,88.0,67.66666666666667
84,14,6,66.0,49.0,66.33333333333333
87,15,6,84.0,66.0,79.0
116,16,6,87.0,84.0,95.66666666666667
114,17,6,116.0,87.0,105.66666666666667
87,18,6,114.0,116.0,105.66666666666667
68,19,6,87.0,114.0,89.66666666666667
47,20,6,68.0,87.0,67.33333333333333
36,21,6,47.0,68.0,50.333333333333336
26,22,6,36.0,47.0,36.333333333333336
19,23,6,26.0,36.0,27.0
19,0,0,19.0,26.0,21.333333333333332
9,1,0,19.0,19.0,15.666666666666666
15,2,0,9.0,19.0,14.333333333333334
6,3,0,15.0,9.0,10.0
11,4,0,6.0,15.0,10.666666666666666
24,5,0,11.0,6.0,13.666666666666666
59,6,0,24.0,11.0,31.333333333333332
82,7,0,59.0,24.0,55.0
107,8,0,82.0,59.0,82.66666666666667
113,9,0,107.0,82.0,100.66666666666667
92,10,0,113.0,107.0,104.0
87,11,0,92.0,113.0,97.33333333333333
70,12,0,87.0,92.0,83.0
59,13,0,70.0,87.0,72.0
85,14,0,59.0,70.0,71.33333333333333
92,15,0,85.0,59.0,78.66666666666667
140,16,0,92.0,85.0,105.66666666666667
102,17,0,140.0,92.0,111.33333333333333
77,18,0,102.0,140.0,106.33333333333333
58,19,0,77.0,102.0,79.0
49,20,0,58.0,77.0,61.333333333333336
34,21,0,49.0,58.0,47.0
31,22,0,34.0,49.0,38.0
19,23,0,31.0,34.0,28.0
14,0,1,19.0,31.0,21.333333333333332
6,1,1,14.0,19.0,13.0
7,2,1,6.0,14.0,9.0
7,3,1,7.0,6.0,6.666666666666667
8,4,1,7.0,7.0,7.333333333333333
26,5,1,8.0,7.0,13.666666666666666
42,6,1,26.0,8.0,25.333333333333332
85,7,1,42.0,26.0,51.0
110,8,1,85.0,42.0,79.0
115,9,1,110.0,85.0,103.33333333333333
89,10,1,115.0,110.0,104.66666666666667
93,11,1,89.0,115.0,99.0
73,12,1,93.0,89.0,85.0
65,13,1,73.0,93.0,77.0
76,14,1,65.0,73.0,71.33333333333333
83,15,1,76.0,65.0,74.66666666666667
129,16,1,83.0,76.0,96.0
111,17,1,129.0,83.0,107.66666666666667
98,18,1,111.0,129.0,112.66666666666667
63,19,1,98.0,111.0,90.66666666666667
49,20,1,63.0,98.0,70.0
38,21,1,49.0,63.0,50.0
32,22,1,38.0,49.0,39.666666666666664
21,23,1,32.0,38.0,30.333333333333332
11,0,2,21.0,32.0,21.333333333333332
15,1,2,11.0,21.0,15.666666666666666
5,2,2,15.0,11.0,10.333333333333334
7,3,2,5.0,15.0,9.0
12,4,2,7.0,5.0,8.0
32,5,2,12.0,7.0,17.0
67,6,2,32.0,12.0,37.0
79,7,2,67.0,32.0,59.333333333333336
131,8,2,79.0,67.0,92.33333333333333
131,9,2,131.0,79.0,113.66666666666667
78,10,2,131.0,131.0,113.33333333333333
69,11,2,78.0,131.0,92.66666666666667
60,12,2,69.0,78.0,69.0
64,13,2,60.0,69.0,64.33333333333333
76,14,2,64.0,60.0,66.66666666666667
84,15,2,76.0,64.0,74.66666666666667
117,16,2,84.0,76.0,92.33333333333333
111,17,2,117.0,84.0,104.0
80,18,2,111.0,117.0,102.66666666666667
72,19,2,80.0,111.0,87.66666666666667
53,20,2,72.0,80.0,68.33333333333333
45,21,2,53.0,72.0,56.666666666666664
28,22,2,45.0,53.0,42.0
13,23,2,28.0,45.0,28.666666666666668
10,0,3,13.0,28.0,17.0
7,1,3,10.0,13.0,10.0
9,2,3,7.0,10.0,8.666666666666666
4,3,3,9.0,7.0,6.666666666666667
10,4,3,4.0,9.0,7.666666666666667
32,5,3,10.0,4.0,15.333333333333334
50,6,3,32.0,10.0,30.666666666666668
77,7,3,50.0,32.0,53.0
143,8,3,77.0,50.0,90.0
123,9,3,143.0,77.0,114.33333333333333
82,10,3,123.0,143.0,116.0
71,11,3,82.0,123.0,92.0
74,12,3,71.0,82.0,75.66666666666667
72,13,3,74.0,71.0,72.33333333333333
76,14,3,72.0,74.0,74.0
99,15,3,76.0,72.0,82.33333333333333
124,16,3,99.0,76.0,99.66666666666667
97,17,3,124.0,99.0,106.66666666666667
92,18,3,97.0,124.0,104.33333333333333
73,19,3,92.0,97.0,87.33333333333333
46,20,3,73.0,92.0,70.33333333333333
33,21,3,46.0,73.0,50.666666666666664
23,22,3,33.0,46.0,34.0
13,23,3,23.0,33.0,23.0
14,0,4,13.0,23.0,16.666666666666668
7,1,4,14.0,13.0,11.333333333333334
2,2,4,7.0,14.0,7.666666666666667
8,3,4,2.0,7.0,5.666666666666667
10,4,4,8.0,2.0,6.666666666666667
36,5,4,10.0,8.0,18.0
62,6,4,36.0,10.0,36.0
95,7,4,62.0,36.0,64.33333333333333
132,8,4,95.0,62.0,96.33333333333333
123,9,4,132.0,95.0,116.66666666666667
73,10,4,123.0,132.0,109.33333333333333
68,11,4,73.0,123.0,88.0
65,12,4,68.0,73.0,68.66666666666667
55,13,4,65.0,68.0,62.666666666666664
62,14,4,55.0,65.0,60.666666666666664
86,15,4,62.0,55.0,67.66666666666667
128,16,4,86.0,62.0,92.0
125,17,4,128.0,86.0,113.0
83,18,4,125.0,128.0,112.0
70,19,4,83.0,125.0,92.66666666666667
52,20,4,70.0,83.0,68.33333333333333
37,21,4,52.0,70.0,53.0
24,22,4,37.0,52.0,37.666666666666664
23,23,4,24.0,37.0,28.0
7,0,5,23.0,24.0,18.0
3,1,5,7.0,23.0,11.0
7,2,5,3.0,7.0,5.666666666666667
8,3,5,7.0,3.0,6.0
11,4,5,8.0,7.0,8.666666666666666
21,5,5,11.0,8.0,13.333333333333334
42,6,5,21.0,11.0,24.666666666666668
96,7,5,42.0,21.0,53.0
125,8,5,96.0,42.0,87.66666666666667
112,9,5,125.0,96.0,111.0
100,10,5,112.0,125.0,112.33333333333333
77,11,5,100.0,112.0,96.33333333333333
59,12,5,77.0,100.0,78.66666666666667
63,13,5,59.0,77.0,66.33333333333333
82,14,5,63.0,59.0,68.0
87,15,5,82.0,63.0,77.33333333333333
144,16,5,87.0,82.0,104.33333333333333
109,17,5,144.0,87.0,113.33333333333333
89,18,5,109.0,144.0,114.0
63,19,5,89.0,109.0,87.0
52,20,5,63.0,89.0,68.0
32,21,5,52.0,63.0,49.0
32,22,5,32.0,52.0,38.666666666666664
19,23,5,32.0,32.0,27.666666666666668
13,0,6,19.0,32.0,21.333333333333332
11,1,6,13.0,19.0,14.333333333333334
9,2,6,11.0,13.0,11.0
9,3,6,9.0,11.0,9.666666666666666
13,4,6,9.0,9.0,10.333333333333334
30,5,6,13.0,9.0,17.333333333333332
48,6,6,30.0,13.0,30.333333333333332
87,7,6,48.0,30.0,55.0
133,8,6,87.0,48.0,89.33333333333333
112,9,6,133.0,87.0,110.66666666666667
87,10,6,112.0,133.0,110.66666666666667
65,11,6,87.0,112.0,88.0
53,12,6,65.0,87.0,68.33333333333333
66,13,6,53.0,65.0,61.333333333333336
68,14,6,66.0,53.0,62.333333333333336
113,15,6,68.0,66.0,82.33333333333333
136,16,6,113.0,68.0,105.66666666666667
103,17,6,136.0,113.0,117.33333333333333
97,18,6,103.0,136.0,112.0
70,19,6,97.0,103.0,90.0
50,20,6,70.0,97.0,72.33333333333333
27,21,6,50.0,70.0,49.0
23,22,6,27.0,50.0,33.333333333333336
17,23,6,23.0,27.0,22.333333333333332
16,0,0,17.0,23.0,18.666666666666668
3,1,0,16.0,17.0,12.0
4,2,0,3.0,16.0,7.666666666666667
11,3,0,4.0,3.0,6.0
12,4,0,11.0,4.0,9.0
32,5,0,12.0,11.0,18.333333333333332
52,6,0,32.0,12.0,32.0
75,7,0,52.0,32.0,53.0
126,8,0,75.0,52.0,84.33333333333333
114,9,0,126.0,75.0,105.0
98,10,0,114.0,126.0,112.66666666666667
78,11,0,98.0,114.0,96.66666666666667
66,12,0,78.0,98.0,80.66666666666667
64,13,0,66.0,78.0,69.33333333333333
88,14,0,64.0,66.0,72.66666666666667
82,15,0,88.0,64.0,78.0
132,16,0,82.0,88.0,100.66666666666667
110,17,0,132.0,82.0,108.0
89,18,0,110.0,132.0,110.33333333333333
56,19,0,89.0,110.0,85.0
54,20,0,56.0,89.0,66.33333333333333
35,21,0,54.0,56.0,48.333333333333336
26,22,0,35.0,54.0,38.333333333333336
17,23,0,26.0,35.0,26.0
14,0,1,17.0,26.0,19.0
7,1,1,14.0,17.0,12.666666666666666
9,2,1,7.0,14.0,10.0
9,3,1,9.0,7.0,8.333333333333334
8,4,1,9.0,9.0,8.666666666666666
23,5,1,8.0,9.0,13.333333333333334
57,6,1,23.0,8.0,29.333333333333332
85,7,1,57.0,23.0,55.0
131,8,1,85.0,57.0,91.0
112,9,1,131.0,85.0,109.33333333333333
119,10,1,112.0,131.0,120.66666666666667
77,11,1,119.0,112.0,102.66666666666667
60,12,1,77.0,119.0,85.33333333333333
66,13,1,60.0,77.0,67.66666666666667
74,14,1,66.0,60.0,66.66666666666667
90,15,1,74.0,66.0,76.66666666666667
135,16,1,90.0,74.0,99.66666666666667
105,17,1,135.0,90.0,110.0
78,18,1,105.0,135.0,106.0
65,19,1,78.0,105.0,82.66666666666667
43,20,1,65.0,78.0,62.0
40,21,1,43.0,65.0,49.333333333333336
18,22,1,40.0,43.0,33.666666666666664
15,23,1,18.0,40.0,24.333333333333332
14,0,2,15.0,18.0,15.666666666666666
5,1,2,14.0,15.0,11.333333333333334
7,2,2,5.0,14.0,8.666666666666666
11,3,2,7.0,5.0,7.666666666666667
15,4,2,11.0,7.0,11.0
18,5,2,15.0,11.0,14.666666666666666
51,6,2,18.0,15.0,28.0
80,7,2,51.0,18.0,49.666666666666664
132,8,2,80.0,51.0,87.66666666666667
99,9,2,132.0,80.0,103.66666666666667
79,10,2,99.0,132.0,103.33333333333333
69,11,2,79.0,99.0,82.33333333333333
70,12,2,69.0,79.0,72.66666666666667
68,13,2,70.0,69.0,69.0
80,14,2,68.0,70.0,72.66666666666667
102,15,2,80.0,68.0,83.33333333333333
143,16,2,102.0,80.0,108.33333333333333
115,17,2,143.0,102.0,120.0
84,18,2,115.0,143.0,114.0
65,19,2,84.0,115.0,88.0
44,20,2,65.0,84.0,64.33333333333333
46,21,2,44.0,65.0,51.666666666666664
25,22,2,46.0,44.0,38.333333333333336
18,23,2,25.0,46.0,29.666666666666668
20,0,3,18.0,25.0,21.0
9,1,3,20.0,18.0,15.666666666666666
12,2,3,9.0,20.0,13.666666666666666
7,3,3,12.0,9.0,9.333333333333334
14,4,3,7.0,12.0,11.0
20,5,3,14.0,7.0,13.666666666666666
57,6,3,20.0,14.0,30.333333333333332
104,7,3,57.0,20.0,60.333333333333336
126,8,3,104.0,57.0,95.66666666666667
124,9,3,126.0,104.0,118.0
71,10,3,124.0,126.0,107.0
76,11,3,71.0,124.0,90.33333333333333
56,12,3,76.0,71.0,67.66666666666667
70,13,3,56.0,76.0,67.33333333333333
71,14,3,70.0,56.0,65.66666666666667
103,15,3,71.0,70.0,81.33333333333333
130,16,3,103.0,71.0,101.33333333333333
117,17,3,130.0,103.0,116.66666666666667
77,18,3,117.0,130.0,108.0
49,19,3,77.0,117.0,81.0
36,20,3,49.0,77.0,54.0
44,21,3,36.0,49.0,43.0
28,22,3,44.0,36.0,36.0
19,23,3,28.0,44.0,30.333333333333332
10,0,4,19.0,28.0,19.0
8,1,4,10.0,19.0,12.333333333333334
9,2,4,8.0,10.0,9.0
11,3,4,9.0,8.0,9.333333333333334
14,4,4,11.0,9.0,11.333333333333334
26,5,4,14.0,11.0,17.0
50,6,4,26.0,14.0,30.0
99,7,4,50.0,26.0,58.333333333333336
128,8,4,99.0,50.0,92.33333333333333
114,9,4,128.0,99.0,113.66666666666667
85,10,4,114.0,128.0,109.0
86,11,4,85.0,114.0,95.0
62,12,4,86.0,85.0,77.66666666666667
67,13,4,62.0,86.0,71.66666666666667
69,14,4,67.0,62.0,66.0
91,15,4,69.0,67.0,75.66666666666667
123,16,4,91.0,69.0,94.33333333333333
121,17,4,123.0,91.0,111.66666666666667
71,18,4,121.0,123.0,105.0
61,19,4,71.0,121.0,84.33333333333333
54,20,4,61.0,71.0,62.0
42,21,4,54.0,61.0,52.333333333333336
24,22,4,42.0,54.0,40.0
15,23,4,24.0,42.0,27.0
16,0,5,15.0,24.0,18.333333333333332
6,1,5,16.0,15.0,12.333333333333334
6,2,5,6.0,16.0,9.333333333333334
9,3,5,6.0,6.0,7.0
14,4,5,9.0,6.0,9.666666666666666
35,5,5,14.0,9.0,19.333333333333332
51,6,5,35.0,14.0,33.333333333333336
95,7,5,51.0,35.0,60.333333333333336
110,8,5,95.0,51.0,85.33333333333333
122,9,5,110.0,95.0,109.0
84,10,5,122.0,110.0,105.33333333333333
68,11,5,84.0,122.0,91.33333333333333
63,12,5,68.0,84.0,71.66666666666667
53,13,5,63.0,68.0,61.333333333333336
75,14,5,53.0,63.0,63.666666666666664
91,15,5,75.0,53.0,73.0
129,16,5,91.0,75.0,98.33333333333333
119,17,5,129.0,91.0,113.0
94,18,5,119.0,129.0,114.0
63,19,5,94.0,119.0,92.0
57,20,5,63.0,94.0,71.33333333333333
33,21,5,57.0,63.0,51.0
33,22,5,33.0,57.0,41.0
14,23,5,33.0,33.0,26.666666666666668
9,0,6,14.0,33.0,18.666666666666668
8,1,6,9.0,14.0,10.333333333333334
10,2,6,8.0,9.0,9.0
9,3,6,10.0,8.0,9.0
14,4,6,9.0,10.0,11.0
